0.0,0.331451,N
0.331451,1.759478,F
1.759478,2.978526,C
2.978526,4.32736,Fm
4.32736,6.705328,A#
6.705328,7.854716,F
7.854716,9.004104,C
9.004104,10.153492,Fm
10.153492,11.279659,Fm
11.279659,13.555215,Fm
13.555215,15.777632,Fm
15.777632,18.071496,Fm
18.071496,20.323832,Fm
20.323832,22.576167,Fm
22.576167,24.840113,Fm
24.840113,25.943061,F
25.943061,27.034399,C
27.034399,28.102517,Fm
28.102517,29.240294,Fm
29.240294,31.46941,Fm
31.46941,33.617256,Fm
33.617256,35.811541,Fm
35.811541,37.947777,Fm
37.947777,40.095623,Fm
40.095623,42.324739,Fm
42.324739,43.439297,F
43.439297,44.530634,C
44.530634,45.587142,F
45.587142,46.64365,C
46.64365,47.723378,F
47.723378,48.756666,C
48.756666,50.927732,F
50.927732,52.01907,C
52.01907,53.087188,G
53.087188,54.155306,C
54.155306,55.176984,G
55.176984,56.279931,C
56.279931,57.359659,G
57.359659,59.495895,C
59.495895,60.633673,F
60.633673,61.690181,C
61.690181,62.793129,Fm
62.793129,63.861247,Fm
63.861247,66.009092,Fm
66.009092,68.098888,Fm
68.098888,70.293174,Fm
70.293174,72.37136,Fm
72.37136,74.530816,Fm
74.530816,76.609002,Fm
76.609002,77.70034,F
77.70034,78.780068,C
78.780068,79.836575,Fm
79.836575,80.869863,Fm
80.869863,82.959659,Fm
82.959659,85.037845,Fm
85.037845,87.092811,Fm
87.092811,89.147777,Fm
89.147777,91.167913,Fm
91.167913,93.257709,Fm
93.257709,94.302607,F
94.302607,95.370725,C
95.370725,96.415623,F
96.415623,97.448911,C
97.448911,98.482199,F
98.482199,99.503877,C
99.503877,101.593673,F
101.593673,102.626961,C
102.626961,103.671859,G
103.671859,104.705147,C
104.705147,105.691995,G
105.691995,106.736893,C
106.736893,107.746961,G
107.746961,109.801927,C
109.801927,110.881655,F
110.881655,111.949773,C
111.949773,112.994671,Fm
112.994671,114.062789,Fm
114.062789,116.140975,Fm
116.140975,118.21916,Fm
118.21916,120.355396,Fm
120.355396,122.468412,Fm
122.468412,124.558208,Fm
124.558208,126.578344,Fm
126.578344,127.681292,F
127.681292,128.7378,C
128.7378,129.771088,Fm
129.771088,130.862426,Fm
130.862426,132.963832,Fm
132.963832,135.030408,Fm
135.030408,137.096984,Fm
137.096984,139.18678,Fm
139.18678,141.183696,Fm
141.183696,143.250272,Fm
143.250272,145.374897,Fm
145.374897,147.395034,Fm
147.395034,149.43839,Fm
149.43839,151.504965,Fm
151.504965,153.525102,Fm
153.525102,156.630204,N
